cust_id,full_name,gender,age,city,state,join_date,region_name
139,Vaibhav Chatterjee,F,35,Karimnagar,Telangana,2022-08-19,East
140,Rashmi Varma,F,54,Karimnagar,Telangana,2022-12-26,Central
141,Rahul Ganguly,M,34,Raipur,Chhattisgarh,2023-04-28,West
142,Pranav Chopra,F,61,Panaji,Goa,2023-09-29,North
143,Simran Shetty,F,52,Howrah,West Bengal,2023-05-22,Central
144,Arya Parmar,M,54,Leh,Ladakh,2022-11-03,South
145,Gauri Nanda,F,47,Ahmedabad,Gujarat,2024-08-04,East
146,Avani Banerjee,F,40,Surat,Gujarat,2022-05-04,North
147,Sameer Khanna,M,61,Srinagar,Jammu & Kashmir,2022-09-30,East
148,Aarav Tandon,M,37,Dehradun,Uttarakhand,2024-05-18,Central
149,Sneha Rana,M,33,Siliguri,West Bengal,2022-05-18,North
150,Sumit Fernandes,M,21,Coimbatore,Tamil Nadu,2024-10-28,East
151,Vineet Duggal,F,37,Lucknow,Uttar Pradesh,2022-05-05,Central
152,Vishal Jacob,F,44,Salem,Tamil Nadu,2023-09-07,West
153,Arjun Patel,F,44,Port Blair,Andaman and Nicobar Islands,2022-10-02,West
154,Sagar Bhat,M,21,Muzaffarpur,Bihar,2024-02-12,Central
155,Prakash Ahluwalia,M,30,Udupi,Karnataka,2024-09-07,South
156,Sana Modi,F,37,Gaya,Bihar,2024-01-07,Central
157,Ansh Pathak,M,65,Madurai,Tamil Nadu,2022-02-03,East
158,Neeraj Thakur,F,64,Shillong,Meghalaya,2024-08-01,South
159,Abhinav Kumar,M,58,Cuttack,Odisha,2022-05-20,South
160,Ujjwal Saini,F,19,Delhi,Delhi,2024-12-25,Central
161,Deepti Pachauri,M,33,Karimnagar,Telangana,2024-12-14,East
162,Manisha Iyer,M,59,Pune,Maharashtra,2022-07-11,West
163,Rakesh Pathak,M,51,Nagpur,Maharashtra,2023-04-16,South
164,Lokesh Raghavan,M,63,Bilaspur,Chhattisgarh,2022-06-07,East
165,Sandeep Tandon,M,62,Rajkot,Gujarat,2024-10-22,East
166,Sarika Tripathi,F,19,Muzaffarpur,Bihar,2024-07-11,West
167,Sana Bhandari,F,33,Vadodara,Gujarat,2022-06-18,East
168,Rohit Bhattacharya,M,18,Agra,Uttar Pradesh,2024-06-29,East
169,Rishi Parmar,M,56,Meerut,Uttar Pradesh,2024-02-28,North
170,Harsh Goenka,F,35,Agartala,Tripura,2022-10-26,North
171,Rohit Ghosh,M,64,Agartala,Tripura,2023-02-05,West
172,Sana Verma,F,46,Jaipur,Rajasthan,2024-05-31,Central
173,Sarika Jacob,F,65,Shillong,Meghalaya,2023-05-12,East
174,Alok Srivastava,F,63,Siliguri,West Bengal,2024-06-16,East
175,Namrata Saini,M,63,Chandigarh,Punjab,2024-02-12,North
176,Charan Bhattacharya,M,60,Kota,Rajasthan,2022-12-07,Central
177,Aditya Bhatia,F,32,Aizawl,Mizoram,2024-11-28,Central
178,Ishan Kaul,M,48,Mysuru,Karnataka,2023-08-29,West
179,Swati Tyagi,M,51,Guwahati,Assam,2023-12-15,West
180,Ansh Vyas,M,19,Udaipur,Rajasthan,2022-08-12,South
181,Tanmay Fernandes,F,58,Warangal,Telangana,2023-01-17,West
182,Pallavi Tandon,M,54,Mysuru,Karnataka,2023-01-18,East
183,Sapna Raghavan,M,40,Kota,Rajasthan,2024-07-26,Central
184,Farhan Gandhi,F,25,Warangal,Telangana,2024-02-04,South
185,Juhi Nair,F,26,Warangal,Telangana,2023-10-07,West
186,Sandeep Patel,F,44,Shillong,Meghalaya,2024-05-01,West
187,Parth Das,F,54,Agartala,Tripura,2024-11-12,North
188,Zoya Dubey,F,24,Puri,Odisha,2023-09-02,North
189,Soumya Das,M,31,Siliguri,West Bengal,2022-05-02,Central
190,Harini Tandon,F,21,Lucknow,Uttar Pradesh,2022-09-17,South
191,Urvi Chaudhary,F,58,Dhanbad,Jharkhand,2024-02-08,West
192,Uma Jadhav,M,64,Gandhinagar,Gujarat,2024-07-27,East
193,Nikita Jadhav,F,39,Chennai,Tamil Nadu,2024-09-20,East
194,Sumit Mishra,M,45,Kolkata,West Bengal,2022-09-28,East
195,Juhi Bansal,F,58,Agra,Uttar Pradesh,2023-04-25,West
196,Manisha Nath,F,18,New Delhi,Delhi,2023-12-05,North
197,Prachi Chatterjee,F,26,Madurai,Tamil Nadu,2022-05-21,Central
198,Shruti Rana,F,31,Gandhinagar,Gujarat,2022-07-25,South
199,Omkar Roy,M,33,Kanpur,Uttar Pradesh,2022-02-24,East
200,Vaibhav Khatri,M,33,Agartala,Tripura,2022-05-26,Central
201,Sneha Kaur,M,48,Vadodara,Gujarat,2022-02-04,Central
202,Veer Goswami,F,45,Ranchi,Jharkhand,2022-06-18,Central
203,Jahnavi Panda,F,43,Surat,Gujarat,2023-09-28,West
204,Arjun Iyengar,M,25,New Delhi,Delhi,2022-10-09,North
205,Juhi Khan,M,65,Muzaffarpur,Bihar,2022-08-30,North
206,Vandana Pathak,M,41,Erode,Tamil Nadu,2023-06-07,North
207,Ansh Mohanty,F,42,Salem,Tamil Nadu,2023-01-02,North
208,Varun Sen,M,29,Bhubaneswar,Odisha,2024-11-22,North
209,Sagar Dey,F,54,Noida,Uttar Pradesh,2023-05-12,West
210,Yuvraj Kaul,M,39,Delhi,Delhi,2024-02-10,East
211,Himanshu Singh,F,23,Nagpur,Maharashtra,2023-04-20,Central
212,Arya Malhotra,M,33,Varanasi,Uttar Pradesh,2023-06-19,East
213,Jahnavi Bhattacharya,M,46,Dehradun,Uttarakhand,2023-10-06,West
214,Nikhil Bose,M,28,Noida,Uttar Pradesh,2022-03-24,South
215,Kajal Ali,F,46,Puri,Odisha,2022-07-13,West
216,Lakshmi Zaveri,F,41,Rajkot,Gujarat,2023-06-15,North
217,Rakesh Bose,M,47,Nashik,Maharashtra,2022-12-11,Central
218,Pallavi Mehta,M,20,Puri,Odisha,2023-08-28,West
219,Zoya Varma,M,42,Kota,Rajasthan,2024-09-09,Central
220,Amrita Vyas,F,21,Haridwar,Uttarakhand,2024-12-20,East
221,Yamini Yadav,M,32,Raipur,Chhattisgarh,2023-12-28,South
222,Amrita Siddiqui,F,54,Madurai,Tamil Nadu,2023-01-21,West
223,Aarav Jain,M,26,Udaipur,Rajasthan,2022-12-30,East
224,Saanvi Bedi,F,63,Bilaspur,Chhattisgarh,2022-07-26,East
225,Ritika Duggal,M,42,Agra,Uttar Pradesh,2023-08-27,South
226,Karan Rajput,F,57,Bhubaneswar,Odisha,2022-08-02,West
227,Juhi Reddy,M,63,Jaipur,Rajasthan,2024-07-03,North
228,Sandeep Menon,F,28,Jamshedpur,Jharkhand,2024-10-06,West
229,Akanksha Jacob,F,24,Vadodara,Gujarat,2023-12-02,South
230,Juhi Rajput,F,28,Nashik,Maharashtra,2022-07-27,East
231,Mihir Bhatia,M,43,Shillong,Meghalaya,2022-11-11,North
232,Payal Bhandari,F,25,Agra,Uttar Pradesh,2024-03-25,West
233,Ansh Gill,F,47,Gaya,Bihar,2023-04-09,East
234,Shruti Tandon,M,53,Ahmedabad,Gujarat,2024-03-03,Central
235,Vinay Verma,M,25,Patiala,Punjab,2022-12-21,South
236,Lavanya Zaveri,M,56,Gaya,Bihar,2023-10-17,North
237,Vineet Mishra,M,62,Imphal,Manipur,2024-05-09,North
238,Nikhil Khatri,F,54,Haridwar,Uttarakhand,2022-03-18,South
239,Tejas Goenka,F,19,Udaipur,Rajasthan,2023-09-13,East
240,Simran Rajput,M,30,Ludhiana,Punjab,2023-03-09,West
241,Harini Tripathi,M,29,Karimnagar,Telangana,2023-02-16,North
242,Sagar Zaveri,F,50,Bilaspur,Chhattisgarh,2022-09-11,North
243,Rhea Kaul,M,34,Gandhinagar,Gujarat,2023-08-07,North
244,Shreya Nanda,M,61,New Delhi,Delhi,2024-08-28,South
245,Sonali Khanna,F,47,Patna,Bihar,2023-03-23,West
246,Asha Joshi,F,58,Meerut,Uttar Pradesh,2023-07-22,East
247,Vandana Gupta,F,44,Ranchi,Jharkhand,2024-03-06,North
248,Ritika Naidu,F,28,Warangal,Telangana,2023-08-25,North
249,Rishi Duggal,F,44,Jaipur,Rajasthan,2024-02-01,East
250,Farhan Shah,F,51,Noida,Uttar Pradesh,2024-04-26,North
251,Himanshu Jacob,M,23,Shillong,Meghalaya,2023-11-13,South
252,Chitra Chakraborty,F,58,Chandigarh,Punjab,2024-04-06,West
253,Krishna Ahuja,M,58,Puri,Odisha,2023-04-09,East
254,Payal Mishra,F,45,Coimbatore,Tamil Nadu,2023-12-03,West
255,Veer Das,M,41,Pune,Maharashtra,2024-02-08,East
256,Esha Lal,F,42,Udupi,Karnataka,2023-06-02,West
257,Vineet Goenka,M,44,Mysuru,Karnataka,2024-11-13,Central
258,Lavanya Tripathi,F,51,Kolkata,West Bengal,2024-01-04,West
259,Divya Pillai,F,27,Gandhinagar,Gujarat,2024-11-13,North
260,Tanmay Bansal,M,29,Nagpur,Maharashtra,2023-08-19,East
261,Ritika Menon,F,64,Gandhinagar,Gujarat,2024-02-03,East
262,Trisha Verma,F,59,Trichy,Tamil Nadu,2022-08-20,South
263,Sumit Deshmukh,F,40,Thane,Maharashtra,2022-09-25,West
264,Vishal Thomas,M,60,Udaipur,Rajasthan,2024-11-29,Central
265,Ishan Zaveri,M,18,Erode,Tamil Nadu,2024-11-01,West
266,Sameer Krishnan,M,23,Shimla,Himachal Pradesh,2024-06-28,Central
267,Shivam Kumar,M,53,Delhi,Delhi,2022-07-06,Central
268,Rakesh Patel,F,63,Indore,Madhya Pradesh,2024-07-15,North
269,Vineet Khan,M,20,Trichy,Tamil Nadu,2024-10-05,South
270,Rashmi Bhattacharya,F,20,Udupi,Karnataka,2024-07-11,West
271,Ujjwal Nanda,M,62,Hyderabad,Telangana,2022-09-20,North
272,Harini Chatterjee,F,56,Aizawl,Mizoram,2023-09-05,Central
273,Varun Pandey,F,63,Mangalore,Karnataka,2023-12-23,Central
274,Sana Chaudhary,M,60,Ahmedabad,Gujarat,2023-02-14,East
275,Leena Tandon,M,40,Patiala,Punjab,2022-07-29,Central
276,Sanjay Lal,F,53,Nashik,Maharashtra,2022-01-27,East
277,Zoya Subramanian,M,64,Karimnagar,Telangana,2023-08-26,West
278,Sameer Banerjee,F,35,Gaya,Bihar,2022-09-24,South
279,Prakash Nair,F,22,Prayagraj,Uttar Pradesh,2024-12-12,South
280,Shivam Bhat,F,32,Howrah,West Bengal,2023-11-11,East
281,Muskan Banerjee,F,42,Mangalore,Karnataka,2024-03-01,East
282,Vikram Bhandari,M,28,Leh,Ladakh,2024-12-28,North
283,Leena Panda,F,59,Vadodara,Gujarat,2022-11-11,North
284,Manoj Gill,F,42,Patiala,Punjab,2024-04-08,West
285,Avani Kashyap,M,36,Noida,Uttar Pradesh,2022-06-27,East
286,Pooja Reddy,M,37,Bhopal,Madhya Pradesh,2022-01-23,Central
287,Yash Parmar,M,37,Siliguri,West Bengal,2023-12-06,South
288,Tanmay Roy,M,36,Surat,Gujarat,2023-05-29,North
289,Dev Goswami,M,30,Prayagraj,Uttar Pradesh,2024-09-22,West
290,Preeti Ganguly,M,63,Amritsar,Punjab,2023-07-21,East
291,Pranav Nair,M,29,Rajkot,Gujarat,2023-07-29,South
292,Veer Rastogi,M,55,Ranchi,Jharkhand,2023-03-12,North
293,Vikas Bhat,F,41,Panaji,Goa,2022-01-22,South
294,Ira Subramanian,F,40,Nagpur,Maharashtra,2023-03-25,West
295,Vinay Varma,F,42,Haridwar,Uttarakhand,2024-07-20,North
296,Zoya Pathak,M,42,Gwalior,Madhya Pradesh,2024-01-19,Central
297,Rekha Nair,F,56,Delhi,Delhi,2024-10-24,South
298,Farhan Saini,M,44,Jaipur,Rajasthan,2022-08-21,West
299,Jayant Chatterjee,M,54,Madurai,Tamil Nadu,2022-04-25,South
300,Tarun Mukherjee,M,32,Jamshedpur,Jharkhand,2022-10-20,Central
301,Ashish Fernandes,F,42,Chennai,Tamil Nadu,2022-08-11,North
302,Tejas Rana,M,52,Panaji,Goa,2022-08-29,North
303,Soumya Fernandes,F,42,Jodhpur,Rajasthan,2022-07-20,West
304,Zoya Kumar,F,30,Delhi,Delhi,2022-01-15,Central
305,Rohit Bhattacharya,M,45,Patna,Bihar,2023-06-20,Central
306,Ujjwal Dasgupta,F,53,Guwahati,Assam,2023-06-04,East
307,Madhav Nanda,F,39,Nashik,Maharashtra,2022-11-26,West
308,Chitra Basu,F,32,Bhopal,Madhya Pradesh,2022-06-13,Central
309,Arjun Tripathi,M,58,Agartala,Tripura,2024-06-18,North
310,Vinay Shetty,M,57,Trichy,Tamil Nadu,2022-03-15,East
311,Sarika Krishnan,M,51,New Delhi,Delhi,2022-05-21,North
312,Kajal Kumar,M,53,Vadodara,Gujarat,2024-10-27,East
313,Muskan Tandon,F,47,Shimla,Himachal Pradesh,2022-02-26,West
314,Preeti Kumar,F,51,Leh,Ladakh,2022-01-20,East
315,Kalpana Mohanty,F,40,Howrah,West Bengal,2023-07-06,South
316,Leena Fernandes,M,33,Kota,Rajasthan,2022-11-16,North
317,Anjali Mukherjee,F,57,Prayagraj,Uttar Pradesh,2024-10-05,Central
318,Trisha Pandey,M,50,Jodhpur,Rajasthan,2024-03-17,South
319,Raj Kaur,F,29,Gaya,Bihar,2023-05-01,East
320,Seema Gopal,F,29,Chennai,Tamil Nadu,2023-04-14,North
321,Aditya Dasgupta,F,49,Coimbatore,Tamil Nadu,2024-11-24,Central
322,Mala Yadav,F,48,Bengaluru,Karnataka,2024-07-10,East
323,Yash Dasgupta,F,40,Meerut,Uttar Pradesh,2024-11-11,West
324,Shivam Bedi,M,28,Udaipur,Rajasthan,2023-04-13,East
325,Vineet Mehta,F,28,Warangal,Telangana,2022-02-17,South
326,Devanshi Bhatia,M,48,Nashik,Maharashtra,2022-02-23,West
327,Manoj Ganguly,F,46,Chennai,Tamil Nadu,2022-09-26,Central
328,Yuvraj Goenka,F,26,Srinagar,Jammu & Kashmir,2022-12-29,Central
329,Pranav Kaur,F,34,Salem,Tamil Nadu,2023-09-14,North
330,Urvi Tandon,F,37,New Delhi,Delhi,2024-05-31,East
331,Suhana Kohli,M,28,Raipur,Chhattisgarh,2024-02-14,South
332,Karan Chatterjee,F,25,Shimla,Himachal Pradesh,2024-07-16,East
333,Nikita Chakraborty,F,64,New Delhi,Delhi,2023-04-22,North
334,Vandana Khan,F,62,Pune,Maharashtra,2023-11-08,North
335,Karan Dev,F,42,New Delhi,Delhi,2022-09-07,South
336,Sanjay Shah,F,38,Erode,Tamil Nadu,2022-03-28,Central
337,Mala Bhosale,M,58,Amritsar,Punjab,2023-10-27,North
338,Anjali Prasad,F,62,Salem,Tamil Nadu,2024-01-31,North
339,Arya Kashyap,M,62,Leh,Ladakh,2022-08-08,South
340,Harini Ghosh,M,49,Ludhiana,Punjab,2023-08-27,Central
341,Jayant Basu,M,46,Varanasi,Uttar Pradesh,2023-06-24,Central
342,Mohit Jadhav,M,60,Leh,Ladakh,2024-03-04,South
343,Ashish Banerjee,M,29,Pune,Maharashtra,2023-02-18,North
344,Anuj Kaur,M,56,Vadodara,Gujarat,2022-01-27,South
345,Nikita Pachauri,M,64,Vadodara,Gujarat,2023-09-15,North
346,Kritika Pachauri,M,54,Hyderabad,Telangana,2024-04-30,North
347,Rashmi Saini,M,52,Ludhiana,Punjab,2023-12-23,East
348,Sameer Thomas,F,41,Patiala,Punjab,2024-07-05,West
349,Abhinav Iyer,M,31,Prayagraj,Uttar Pradesh,2022-02-14,East
350,Nikhil Kaur,M,32,Patna,Bihar,2023-09-08,North
351,Deepti Rai,F,20,Gwalior,Madhya Pradesh,2022-06-10,North
352,Sana Bansal,F,51,Nagpur,Maharashtra,2023-10-16,Central
353,Sunita Tandon,M,32,Amritsar,Punjab,2023-08-17,West
354,Seema Gill,M,43,Panaji,Goa,2024-06-08,South
355,Lakshmi Patel,M,33,Vadodara,Gujarat,2023-06-30,West
356,Alok Thomas,F,28,Jodhpur,Rajasthan,2024-06-24,Central
357,Charan Bhosale,M,33,Madurai,Tamil Nadu,2023-08-13,North
358,Leena Pandey,F,53,Guwahati,Assam,2022-10-17,North
359,Ashish Khatri,F,60,Indore,Madhya Pradesh,2022-08-09,North
360,Chitra Deshmukh,M,50,Shimla,Himachal Pradesh,2022-02-14,North
361,Rekha Shah,F,40,Noida,Uttar Pradesh,2023-04-29,Central
362,Sapna Saini,M,23,Gwalior,Madhya Pradesh,2024-12-02,Central
363,Rakesh Mehta,M,31,Coimbatore,Tamil Nadu,2023-02-19,South
364,Kavita Jacob,M,64,Thane,Maharashtra,2023-10-15,West
365,Nikita Rajput,M,56,Cuttack,Odisha,2023-04-18,North
366,Tejas Chatterjee,M,30,Bhubaneswar,Odisha,2022-03-08,West
367,Asha Dasgupta,F,57,Shillong,Meghalaya,2023-10-28,West
368,Sapna Rana,M,51,Mysuru,Karnataka,2024-07-13,West
369,Sanjay Nath,M,30,Varanasi,Uttar Pradesh,2024-06-19,West
370,Tanmay Roy,F,23,Panaji,Goa,2022-08-20,South
371,Swati Raghavan,M,47,Gandhinagar,Gujarat,2023-05-28,East
372,Charan Pachauri,F,64,Aizawl,Mizoram,2022-11-24,West
373,Pranav Iyengar,F,36,Warangal,Telangana,2022-08-29,South
374,Vandana Pandey,M,56,Agartala,Tripura,2023-05-03,South
375,Anuj Deshmukh,M,21,Jodhpur,Rajasthan,2022-03-17,South
376,Kalpana Chopra,F,57,Hyderabad,Telangana,2024-07-21,Central
377,Asha Gupta,F,26,Udupi,Karnataka,2023-07-17,East
